Cereal,Calories,Sugar,Fiber
Common Sense Oat Bran,100,6,3
Product 19,100,3,1
All Bran Xtra Fiber,50,0,14
Just Right,140,9,2
Original Oat Bran,70,5,10
Heartwise,90,5,6
Special K,110,3,0
Oatbake Raisin Nut,110,8,2
Kenmei Rice Bran,150,9,2
Nutri Grain,100,2,3
Shredded Wheat Squares,90,5,3
Oatmeal raisin Crisp,110,6,1
Whole Wheat Total,100,3,3
Cheerios,110,1,2
Total Raisin Bran,86.7,9.3,3.3
Wheaties,100,3,3
Raisin Nut Bran,110,8,3
Wheat Chex,100,3,2
Batman,110,10,0
Ninja Turtles,110,13,0
Capt. Crunch,120,12,0
Trix,110,12,0
Frosted Flakes,110,11,0
Honey Smacks,110,15,1
Froot Loops,110,13,1
Puffed Rice,100,0,0
Mueslix Crispy Blend,160,13,3
Uncle Sam,110,0,7
100% Bran,70,6,10
Fruit & Fiber,96,6.4,4
Bran Flakes,90,5,5
Bran Buds,70,1,8
Fruit'n Oat Bran,110,0,4
Fruit'n Oat Bran Crunch,60,0,13
Hodgson's Mill Wheat,108,0,4
Hodgson's Mill Oat Bran,77,0,6
