Gdiam03,Stdiam03,Wall03,Fate03,Gdiam04,Stdiam04,Wall04,Fate04,Fly04
20.7,3,6,f,18.9,3,,e,n
21.7,3.6,7.3,f,23.1,3.7,9.4,f,y
20.5,3.5,7.8,f,19.4,3.9,6.6,b,n
15,5.1,,e,21.8,3,10,f,y
19.5,3.9,7.1,u,23.5,3.5,9.2,f,y
18.1,4.7,7.1,b,22.6,3.5,7.8,f,y
23,4.9,8.6,f,11.6,4.5,4.3,f,y
26.5,4.8,10.5,f,25.2,4.5,9.6,b,n
13.8,3.7,,e,26.5,6.9,11.3,b,n
21.5,4.8,10,u,20.5,5,,e,n
20,3.7,7.5,f,17.8,5,5.9,f,y
17.9,4.3,8.1,b,23.4,3.5,9.1,f,y
21.1,3.9,7.3,f,18.5,3.1,,e,n
16.3,6,7.2,f,21.6,3.1,7.9,f,y
23.2,5.1,8.6,f,21.5,3.5,8.1,f,y
14.5,4.3,7.5,g,22.1,3.4,10.2,f,y
16,4.3,5.8,f,22.1,3.5,6.1,f,y
16.1,3.5,7.2,f,20,3.1,6.4,u,n
18.8,6,10.5,u,22.5,3.5,7.4,f,y
20.1,3.2,7.5,f,18.5,2.8,5.6,b,n
15.7,4,3.9,b,18.6,2.7,5.2,g,n
17.5,4,7.2,u,23.8,3,9,f,y
20.1,4.1,5.6,f,23.6,3.8,7.8,f,y
16.8,4.1,8.2,u,20.1,4.6,6.1,f,y
23.7,4.3,6.8,f,13.7,3.4,3.3,f,y
21.7,5.3,6.5,u,21.6,3.7,7,f,y
23.1,5.5,8.2,f,20.1,2.9,6,f,y
23.1,5.9,8.1,f,22,3.4,8.1,f,y
22.3,3.9,7.5,f,27.3,6.7,9.5,f,y
21,4.3,7.2,u,24.3,4.1,10,f,y
15.9,4.7,,e,23.7,4.2,10,f,y
21.9,5.1,7.5,f,23.2,6.5,8.6,f,y
15.8,3.4,5.1,f,18,4.8,3.8,u,n
22.2,4,8.3,f,18.1,3.7,6.6,u,n
18.4,5.1,,e,22.5,5.4,7.5,b,n
15.6,5.6,5.5,u,23.5,4,10.9,f,y
22.5,4.1,4.5,b,23.6,4.8,8,f,y
12.6,4.1,,e,22.5,4.8,7.8,f,y
20.1,6.5,5.5,u,18.5,3.3,5.9,f,y
21.1,3.8,,f,16.3,3.8,3.6,f,y
18.9,3.9,,e,17.8,3.8,5.8,f,y
17.4,4.4,6,u,23.4,4.4,6.9,f,y
16.9,5.1,6.6,g,22.6,3.9,8.8,f,y
16.2,3.1,6.1,b,20.6,5,9.1,f,y
