County,MDs,Hospitals,Beds
"Bay, FL                             ",351,3,605
"Beaufort, NC                        ",95,2,134
"Beaver, PA                          ",260,2,567
"Bernalillo, NM                      ",2797,11,1435
"Bibb, GA                            ",769,5,976
"Clinton, PA                         ",42,2,245
"Comanche, TX                        ",13,2,33
"Concordia, LA                       ",20,2,65
"Contra Costa, CA                    ",2981,7,1462
"Coos, NH                            ",83,3,100
"Crawford, KS                        ",56,2,179
"Creek, OK                           ",37,2,42
"Dona Ana, NM                        ",320,2,350
"Douglas, OR                         ",224,2,202
"El Paso, TX                         ",1339,8,1675
"Elmore, AL                          ",44,2,109
"Escambia, FL                        ",973,3,1280
"Fairfield, CT                       ",3686,6,1715
"Hamilton, OH                        ",4485,12,3351
"Hawaii, HI                          ",383,5,474
"Hennepin, MN                        ",5338,9,3261
"Jefferson, PA                       ",51,2,106
"Kenai Peninsula, AK                 ",81,3,96
"Kennebec, ME                        ",379,2,295
"Kent, MI                            ",1752,5,1887
"Labette, KS                         ",39,2,82
"Linn, IA                            ",453,2,805
"Linn, OR                            ",159,2,112
"Macon, NC                           ",101,2,163
"Mercer, PA                          ",217,3,550
"Mercer, WV                          ",176,4,537
"Monmouth, NJ                        ",2459,6,1463
"Montgomery, IL                      ",25,2,151
"Montgomery, MS                      ",11,2,44
"Nassau, NY                          ",8908,13,5034
"New Haven, CT                       ",4497,10,2707
"Norfolk, VA                         ",1108,4,1079
"Okaloosa, FL                        ",502,3,422
"Oneida, NY                          ",611,3,815
"Ottawa, MI                          ",355,3,280
"Passaic, NJ ",1145,5,1403
"Pawnee, OK                          ",5,2,37
"Pecos, TX                           ",9,2,36
"Queens, NY                          ",6224,11,4918
"Richland, SC                        ",1540,4,1389
"Richmond, NC                        ",50,2,205
"Sandusky, OH                        ",55,2,304
"Sedgwick, KS                        ",1387,7,1607
"Sheboygan, WI                       ",205,2,311
"Walla Walla, WA                     ",219,2,145
"Weber, UT                           ",394,2,466
"Whiteside, IL                       ",75,2,188
"Windham, CT                         ",160,2,147
