Temp,Wing,Sex,Species
0.9,18.1,Male,Bc
1.1,18.2,Male,Bc
1.4,18.4,Male,Bc
1.6,18.1,Male,Bc
1.6,17.9,Male,Bc
1.6,17.8,Male,Bc
2.3,17.8,Male,Bc
2.4,17.9,Male,Bc
2.4,17.7,Male,Bc
2.8,18.3,Male,Bc
2.7,18,Male,Bc
2.6,17.7,Male,Bc
2.6,17.6,Male,Bc
2.7,17.4,Male,Bc
2.9,17.8,Male,Bc
4,17.4,Male,Bc
0.9,19.1,Female,Bc
1.1,18.8,Female,Bc
1.4,19.5,Female,Bc
1.6,19,Female,Bc
1.6,18.9,Female,Bc
1.6,18.6,Female,Bc
2.3,18.9,Female,Bc
2.4,18.9,Female,Bc
2.4,18.8,Female,Bc
2.8,19.1,Female,Bc
2.7,18.9,Female,Bc
2.6,18.7,Female,Bc
2.6,18.6,Female,Bc
2.9,18.6,Female,Bc
2.7,18.4,Female,Bc
4,18.2,Female,Bc
