Price,Beds,Baths,Size,Lot
57.6,3,2,0.960,1.30
120.0,6,2,2.786,0.23
150.0,4,2,1.704,0.27
143.0,3,2,1.200,0.80
92.5,3,1,1.329,0.42
50.0,2,1,0.974,0.34
89.0,2,2,1.029,0.29
140.0,4,3,2.818,0.21
197.5,4,2.5,2.268,1.00
125.1,3,2,1.936,0.30
175.0,3,2,1.528,1.30
60.0,3,1,0.880,1.00
138.5,3,2,1.416,0.70
160.0,4,2,2.060,0.60
63.5,3,2,1.781,0.20
107.0,3,1,1.428,2.00
185.0,4,3.5,2.220,0.12
82.7,3,1,1.100,2.07
75.0,4,2,1.400,0.15
118.0,3,1,1.500,0.50
87.5,4,2,2.464,0.33
67.5,4,1,1.515,0.22
105.0,5,2,2.732,0.37
114.0,4,2,2.720,2.50
100.5,3,2,1.608,0.58
78.0,2,1,0.712,1.17
99.0,3,1,0.864,1.66
144.0,3,1.5,1.968,0.34
179.0,4,2,3.100,0.28
110.0,3,1.5,1.312,0.21
175.0,3,2,2.127,1.80
100.0,3,2,1.200,3.50
53.0,3,1,1.321,0.25
92.0,3,2,1.815,0.00
127.0,3,2,1.184,0.34
120.5,2,2,1.200,2.00
72.0,3,2,1.442,0.22
95.0,3,2,0.840,1.03
38.5,3,1,1.296,1.42
139.0,4,2,2.160,0.12
75.0,2,2,0.780,0.15
174.0,4,3,1.382,0.48
119.0,4,2,2.375,0.34
89.0,4,1,2.274,1.00
75.1,4,2,1.540,0.35
92.5,3,2,1.790,0.73
141.0,4,1,1.620,0.28
82.0,3,3,1.454,2.50
162.0,4,1.5,2.044,0.85
195.0,4,3,1.848,1.84
190.0,5,3.5,2.794,0.31
115.0,4,2,1.401,1.10
87.0,3,1.5,1.740,0.25
