Age,PctDM,Month,Sept
7,37.35,Nov,0
8,38.05,Nov,0
8,37.45,Nov,0
9,38.95,Nov,0
9,37.9,Nov,0
9,36.45,Nov,0
9,36.15,Nov,0
10,38.35,Nov,0
10,37.15,Nov,0
11,36.5,Nov,0
11,35.1,Nov,0
12,37.7,Nov,0
12,37.1,Nov,0
13,37.4,Nov,0
13,37.55,Nov,0
13,36.35,Nov,0
14,36.75,Nov,0
15,37.05,Nov,0
16,32.95,Nov,0
17,36.15,Nov,0
18,35.7,Nov,0
7,34.9,Sep,1
7,37,Sep,1
7,37.9,Sep,1
7,38.15,Sep,1
9,33.9,Sep,1
9,36.45,Sep,1
11,35,Sep,1
11,36.15,Sep,1
12,34.05,Sep,1
12,34.65,Sep,1
12,35.4,Sep,1
16,32.45,Sep,1
17,36.55,Sep,1
18,34,Sep,1
