Subject,Task,Report,Group,Time
s1,Visual,Visual,Letter Point,11.6
s2,Visual,Visual,Letter Point,22.71
s3,Visual,Visual,Letter Point,20.96
s4,Visual,Visual,Letter Point,13.96
s5,Visual,Visual,Letter Point,14.6
s6,Visual,Visual,Letter Point,10.98
s7,Visual,Visual,Letter Point,21.08
s8,Visual,Visual,Letter Point,15.85
s9,Visual,Visual,Letter Point,15.68
s10,Visual,Visual,Letter Point,16.1
s11,Visual,Visual,Letter Point,11.87
s12,Visual,Visual,Letter Point,17.49
s13,Visual,Visual,Letter Point,24.4
s14,Visual,Visual,Letter Point,23.35
s15,Visual,Visual,Letter Point,11.24
s16,Visual,Visual,Letter Point,20.24
s17,Visual,Visual,Letter Point,15.52
s18,Visual,Visual,Letter Point,13.7
s19,Visual,Visual,Letter Point,28.15
s20,Visual,Visual,Letter Point,33.98
s1,Visual,Verbal,Letter Say,13.06
s2,Visual,Verbal,Letter Say,6.27
s3,Visual,Verbal,Letter Say,7.77
s4,Visual,Verbal,Letter Say,6.48
s5,Visual,Verbal,Letter Say,6.01
s6,Visual,Verbal,Letter Say,7.6
s7,Visual,Verbal,Letter Say,18.77
s8,Visual,Verbal,Letter Say,10.29
s9,Visual,Verbal,Letter Say,9.18
s10,Visual,Verbal,Letter Say,5.88
s11,Visual,Verbal,Letter Say,6.91
s12,Visual,Verbal,Letter Say,5.66
s13,Visual,Verbal,Letter Say,6.68
s14,Visual,Verbal,Letter Say,11.97
s15,Visual,Verbal,Letter Say,7.5
s16,Visual,Verbal,Letter Say,11.61
s17,Visual,Verbal,Letter Say,10.9
s18,Visual,Verbal,Letter Say,5.74
s19,Visual,Verbal,Letter Say,9.32
s20,Visual,Verbal,Letter Say,12.64
s1,Verbal,Visual,Sentence Point,16.05
s2,Verbal,Visual,Sentence Point,13.16
s3,Verbal,Visual,Sentence Point,15.87
s4,Verbal,Visual,Sentence Point,12.49
s5,Verbal,Visual,Sentence Point,14.69
s6,Verbal,Visual,Sentence Point,8.64
s7,Verbal,Visual,Sentence Point,17.24
s8,Verbal,Visual,Sentence Point,11.69
s9,Verbal,Visual,Sentence Point,17.23
s10,Verbal,Visual,Sentence Point,8.77
s11,Verbal,Visual,Sentence Point,8.44
s12,Verbal,Visual,Sentence Point,9.05
s13,Verbal,Visual,Sentence Point,18.45
s14,Verbal,Visual,Sentence Point,24.38
s15,Verbal,Visual,Sentence Point,14.49
s16,Verbal,Visual,Sentence Point,12.19
s17,Verbal,Visual,Sentence Point,10.5
s18,Verbal,Visual,Sentence Point,11.11
s19,Verbal,Visual,Sentence Point,13.85
s20,Verbal,Visual,Sentence Point,15.48
s1,Verbal,Verbal,Sentence Say,11.51
s2,Verbal,Verbal,Sentence Say,23.86
s3,Verbal,Verbal,Sentence Say,9.51
s4,Verbal,Verbal,Sentence Say,13.2
s5,Verbal,Verbal,Sentence Say,12.31
s6,Verbal,Verbal,Sentence Say,12.26
s7,Verbal,Verbal,Sentence Say,12.68
s8,Verbal,Verbal,Sentence Say,11.37
s9,Verbal,Verbal,Sentence Say,18.28
s10,Verbal,Verbal,Sentence Say,8.33
s11,Verbal,Verbal,Sentence Say,10.6
s12,Verbal,Verbal,Sentence Say,8.24
s13,Verbal,Verbal,Sentence Say,8.53
s14,Verbal,Verbal,Sentence Say,15.85
s15,Verbal,Verbal,Sentence Say,10.91
s16,Verbal,Verbal,Sentence Say,11.13
s17,Verbal,Verbal,Sentence Say,10.9
s18,Verbal,Verbal,Sentence Say,9.33
s19,Verbal,Verbal,Sentence Say,10.01
s20,Verbal,Verbal,Sentence Say,28.18
