Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,766440796,9833.046731421768,342773,4.397603761255987,2092,6932591,88.94162684006446,3574,0.04585260753539193,12,
United States of America,Americas,103436829,31249.547,93260,28.175,0,1127152,340.527,1943,0.587,0
China,Western Pacific,99256991,6746.27,3658,0.249,0,121073,8.229,47,0.003,0
India,South-East Asia,44983152,3259.638,8243,0.597,1021,531794,38.536,72,0.005,4
France,Europe,38989402,59947.396,27260,41.913,0,163279,251.046,108,0.166,0
Germany,Europe,38418899,46195.044,4037,4.854,0,173834,209.019,20,0.024,0
Brazil,Americas,37511921,17647.734,23950,11.267,0,702116,330.315,283,0.133,0
Japan,Western Pacific,33803572,26727.165,833,0.659,0,74694,59.058,25,0.02,0
Republic of Korea,Western Pacific,31415280,61275.169,84493,164.803,0,34610,67.506,39,0.076,0
Italy,Europe,25828252,43305.848,5574,9.346,0,190080,318.704,43,0.072,0
The United Kingdom,Europe,24603076,36241.75,2093,3.083,0,225324,331.915,0,0,0
Russian Federation,Europe,22900755,15692.493,13918,9.537,0,398736,273.23,130,0.089,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13845825,29252.188,0,0,0,120964,255.562,0,0,0
Viet Nam,Western Pacific,11590617,11907.526,10557,10.846,0,43201,44.382,4,0.004,0
Australia,Western Pacific,11299954,44313.747,0,0,0,20553,80.6,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8610372,49463.335,0,0,0,22992,132.08,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7610676,9061.089,343,0.408,0,146204,174.067,16,0.019,0
Mexico,Americas,7603871,5897.548,8297,6.435,0,334013,259.06,53,0.041,0
Indonesia,South-East Asia,6799760,2485.986,6871,2.512,1024,161646,59.098,120,0.044,8
Poland,Europe,6515812,17165.784,622,1.639,0,119590,315.058,16,0.042,0
Colombia,Americas,6365994,12511.07,732,1.439,0,142727,280.501,5,0.01,0
Austria,Europe,6072229,68219.136,2254,25.323,0,22478,252.532,4,0.045,0
Greece,Europe,6044517,56392.969,0,0,0,36863,343.917,0,0,0
Portugal,Europe,5584388,54238.902,676,6.566,0,26668,259.015,10,0.097,0
Ukraine,Europe,5544969,12678.922,0,0,0,112271,256.715,0,0,0
Chile,Americas,5285311,27648.333,4,0.021,0,61437,321.387,0,0,0
Malaysia,Western Pacific,5079436,15693.741,0,0,0,37028,114.404,0,0,0
